currency_name;id;state;date;amount;currency_code;from;to;description
Dinar;2196934;EXECUTED;2022-04-05T07:17:04Z;24588;TND;Счет 68856226464168431377;Счет 64009673148302301520;Перевод со счета на счет
Franc;2051401;PENDING;2023-01-14T13:59:44Z;21616;XAF;Discover 8023806415405011;Discover 4330675064880873;Перевод с карты на карту
Peso;1724852;EXECUTED;2021-04-22T20:18:44Z;32530;COP;Discover 3003758800594505;Discover 3913900928954933;Перевод с карты на карту
Yen;3042949;CANCELED;2020-12-28T00:23:57Z;15619;JPY;Счет 89171183136098678575;Счет 37156155340203759995;Перевод со счета на счет
Rupiah;2035682;EXECUTED;2021-03-24T00:14:15Z;15992;IDR;Visa 9460814254923403;Visa 4565912603866373;Перевод с карты на карту
Peso;1801202;EXECUTED;2021-08-31T20:53:22Z;31579;PHP;Счет 75916879130750839461;Счет 89355195304817814223;Перевод организации
Koruna;2377317;PENDING;2023-08-14T09:58:41Z;23305;CZK;;Счет 60476196595963796362;Открытие вклада
Peso;1199673;EXECUTED;2020-10-07T08:49:52Z;25677;PHP;American Express 9868997595486172;Visa 0291209661494166;Перевод с карты на карту
Dollar;2402660;EXECUTED;2020-03-01T14:39:08Z;11132;CAD;;Счет 53522779957660382631;Открытие вклада
Rupiah;930103;EXECUTED;2020-11-30T08:30:48Z;12031;IDR;Mastercard 8149574569861684;Discover 1229618072674328;Перевод с карты на карту
Dollar;3960261;EXECUTED;2020-04-12T17:56:59Z;18611;USD;;Счет 05766968807462300151;Открытие вклада
Rupiah;1588406;EXECUTED;2021-01-01T14:58:40Z;19924;IDR;Mastercard 4505964110651645;American Express 9119180451193008;Перевод с карты на карту
Euro;332490;EXECUTED;2020-12-07T22:38:54Z;28162;EUR;;Счет 91982937938752279229;Открытие вклада
Quetzal;5134725;CANCELED;2023-11-09T13:19:45Z;16096;GTQ;Счет 57742872757718903241;Счет 60843316198982025818;Перевод со счета на счет
Yuan Renminbi;4011624;EXECUTED;2023-01-10T22:13:49Z;25311;CNY;Discover 6760437696186407;Mastercard 2625117508517464;Перевод с карты на карту
Baht;4739714;CANCELED;2021-03-16T09:50:38Z;29700;THB;Discover 5448680041474638;Счет 81509213611289630443;Перевод организации
Rupiah;1458490;CANCELED;2022-07-27T14:48:56Z;12715;IDR;Mastercard 7898353316523010;Discover 7865481033896023;Перевод с карты на карту
Ariary;4115243;EXECUTED;2020-10-02T00:58:23Z;33795;MGA;Mastercard 4128552733966298;Visa 3778726670159351;Перевод с карты на карту
Real;3231212;EXECUTED;2021-12-07T14:29:02Z;25077;BRL;Mastercard 7071811090567326;Visa 3745592687709450;Перевод с карты на карту
Franc;1781876;PENDING;2023-02-20T11:08:40Z;24586;XAF;American Express 4188660988695878;American Express 4670165143133955;Перевод с карты на карту
Peso;3422007;EXECUTED;2022-02-16T00:17:31Z;14786;PHP;Счет 85848394284577523191;Счет 40992043018007723745;Перевод организации
Hryvnia;2833087;EXECUTED;2022-09-02T21:13:15Z;28421;UAH;Счет 93938816885471635309;Счет 27679999248091965215;Перевод со счета на счет
Rial;3211835;CANCELED;2020-07-03T13:56:11Z;30035;QAR;Visa 8001999082783412;Mastercard 0430116126947445;Перевод с карты на карту
Yuan Renminbi;2627887;CANCELED;2020-01-03T17:08:51Z;18001;CNY;Mastercard 8757974222871146;Discover 7955094807047223;Перевод с карты на карту
Yuan Renminbi;632926;PENDING;2021-11-27T00:46:09Z;29553;CNY;American Express 6477627838877562;Счет 88381741644903346269;Перевод организации
Real;1539387;EXECUTED;2023-07-29T18:13:23Z;13130;BRL;American Express 9646246622784373;American Express 2760544280145973;Перевод с карты на карту
Rupiah;2919081;EXECUTED;2021-12-23T06:40:02Z;23726;IDR;Mastercard 6966877136646759;Mastercard 7149835655551156;Перевод с карты на карту
Franc;5409974;EXECUTED;2022-12-20T08:11:01Z;11789;CDF;Discover 0845299006275838;Discover 2238215145916055;Перевод с карты на карту
Rupiah;1465795;EXECUTED;2023-10-28T22:58:25Z;12963;IDR;;Счет 83116045167866860279;Открытие вклада
Zloty;5055836;PENDING;2022-04-05T03:29:08Z;24796;PLN;Mastercard 3588035503290783;Счет 44168961306050363869;Перевод организации
Rupiah;282352;PENDING;2020-12-26T09:39:00Z;32566;IDR;;Счет 87117715624747483097;Открытие вклада
Ariary;38740;CANCELED;2023-03-02T12:46:35Z;33674;MGA;Счет 61015985923842638044;Счет 34727735024098321865;Перевод со счета на счет
Peso;1803973;EXECUTED;2021-09-09T20:25:03Z;13009;PHP;Mastercard 0079195383170544;Discover 7445133491149659;Перевод с карты на карту
Rial;3162071;EXECUTED;2022-11-02T17:44:03Z;20231;YER;American Express 9087124023963879;Visa 0990855089517781;Перевод с карты на карту
Ruble;3463793;PENDING;2020-02-25T07:24:59Z;17655;RUB;Mastercard 4597611385572324;Visa 0264849140954307;Перевод с карты на карту
Yen;2583513;EXECUTED;2020-05-08T02:59:40Z;30473;JPY;American Express 4260348734990886;Discover 1623518562383702;Перевод с карты на карту
Yuan Renminbi;4259899;EXECUTED;2021-08-11T12:25:51Z;12851;CNY;Discover 0600840143829444;Mastercard 7956693555283113;Перевод с карты на карту
Yuan Renminbi;2537217;EXECUTED;2023-06-27T19:53:05Z;25820;CNY;American Express 6339650600215322;Discover 8283404354492955;Перевод с карты на карту
Krone;2599473;EXECUTED;2021-07-04T01:56:56Z;22779;NOK;Mastercard 2283997217382528;Счет 17324177990501599734;Перевод организации
Yuan Renminbi;857580;CANCELED;2021-09-12T03:53:28Z;27751;CNY;Visa 0651250633302056;Visa 3311516734954339;Перевод с карты на карту
Baht;5008516;PENDING;2023-06-30T04:31:34Z;19988;THB;Discover 0631296518388969;Mastercard 6497034908492124;Перевод с карты на карту
Peso;1371181;EXECUTED;2021-12-29T01:39:49Z;26515;PHP;American Express 5977388088493805;American Express 6189163301783812;Перевод с карты на карту
Ruble;1473389;EXECUTED;2023-08-30T00:58:36Z;18420;RUB;Mastercard 3093124722348405;American Express 6950002720800411;Перевод с карты на карту
Ruble;1453305;PENDING;2020-06-07T02:07:57Z;12234;RUB;Visa 6644696207526766;Mastercard 8548964838326541;Перевод с карты на карту
Rupiah;5062109;CANCELED;2023-02-22T23:31:32Z;22084;IDR;Visa 4615344126170341;American Express 9623944081120709;Перевод с карты на карту
Real;911402;EXECUTED;2022-09-23T21:18:55Z;22900;BRL;;Счет 16907871406772371230;Открытие вклада
Won;2654815;EXECUTED;2022-06-22T14:01:51Z;17009;KRW;Mastercard 8450843686918928;Visa 8423771049920650;Перевод с карты на карту
Dollar;5271661;EXECUTED;2020-03-06T10:36:55Z;20641;NAD;;Счет 50213882587846819729;Открытие вклада
Euro;2765968;EXECUTED;2022-04-12T04:23:56Z;18108;EUR;Mastercard 6684485418787422;American Express 5590025961851078;Перевод с карты на карту
Euro;5434073;PENDING;2020-10-16T00:33:26Z;33634;EUR;Discover 6079985810069539;American Express 4187003076609282;Перевод с карты на карту
Franc;3438176;EXECUTED;2020-05-12T14:33:20Z;22425;CHF;Visa 9207427562974659;Visa 1817584319181554;Перевод с карты на карту
Ruble;5305859;CANCELED;2022-02-03T13:43:10Z;18940;RUB;American Express 7575628496748633;American Express 8201977224219171;Перевод с карты на карту
Yen;3144804;EXECUTED;2023-03-16T18:31:45Z;20039;JPY;Visa 4687457674551698;Mastercard 7020431385343637;Перевод с карты на карту
Yuan Renminbi;1740751;EXECUTED;2021-09-08T22:23:31Z;34518;CNY;Счет 30907628929571752743;Счет 35863137762112178701;Перевод со счета на счет
Krona;2826625;EXECUTED;2022-01-21T02:42:20Z;28564;SEK;Visa 2434960923372230;Счет 62389310054726732233;Перевод организации
Yen;1738376;CANCELED;2020-10-24T04:37:19Z;13638;JPY;Discover 5838445654310457;Mastercard 1227184681117045;Перевод с карты на карту
Rupiah;4224500;EXECUTED;2022-06-03T06:31:10Z;30213;IDR;Visa 8252693278307583;American Express 1020430252920987;Перевод с карты на карту
Ruble;212502;EXECUTED;2021-12-03T14:07:06Z;21574;RUB;Счет 22246813624466689601;Счет 60148056083328746527;Перевод со счета на счет
Shilling;114972;EXECUTED;2023-06-24T01:38:20Z;32229;KES;Discover 5007569730322358;American Express 2958606820247711;Перевод с карты на карту
Krona;671277;CANCELED;2021-10-11T07:33:00Z;30298;SEK;Счет 41751976927052945311;Счет 34771784449161833522;Перевод со счета на счет
Dollar;2226926;EXECUTED;2022-06-05T09:24:11Z;14160;CAD;;Счет 44814275798453591877;Открытие вклада
Peso;2145163;EXECUTED;2023-09-05T11:13:43Z;16619;PHP;Discover 8101224027967385;Discover 9262726024187665;Перевод с карты на карту
Yuan Renminbi;141605;CANCELED;2023-10-07T19:46:26Z;33915;CNY;Discover 6442824834772713;American Express 1908030991731165;Перевод с карты на карту
Dollar;5336250;CANCELED;2021-06-05T05:02:49Z;23921;CAD;Mastercard 2120006197645411;Mastercard 1057574701753363;Перевод с карты на карту
Yen;5379915;PENDING;2023-08-20T02:53:09Z;24850;JPY;;Счет 36811391490389049691;Открытие вклада
Sol;368297;PENDING;2022-04-20T01:43:35Z;12362;PEN;;Счет 73197209028710375773;Открытие вклада
Ringgit;5237484;EXECUTED;2023-07-08T04:43:13Z;13203;MYR;;Счет 73197209028710375773;Открытие вклада
Dollar;744365;PENDING;2022-05-03T05:05:11Z;22652;USD;Discover 8093960331401116;Mastercard 1224722159463490;Перевод с карты на карту
Ruble;1221992;PENDING;2021-02-19T13:25:33Z;12918;RUB;Mastercard 9775497812609116;Discover 5944506116473459;Перевод с карты на карту
Peso;3518973;PENDING;2023-10-11T01:03:20Z;19653;PHP;Visa 0383646897791685;American Express 9980918985573635;Перевод с карты на карту
Real;1938515;EXECUTED;2020-06-28T08:05:59Z;32403;BRL;Visa 6286846678069943;Discover 7898377001181997;Перевод с карты на карту
Pula;1889327;CANCELED;2021-07-25T20:51:01Z;20737;BWP;Visa 7604360599392546;Visa 7942944018455176;Перевод с карты на карту
Peso;2436288;EXECUTED;2022-05-24T05:35:23Z;23234;PHP;American Express 2565635444214491;American Express 0552044753090993;Перевод с карты на карту
Ruble;3436241;EXECUTED;2023-10-20T21:00:39Z;31741;RUB;American Express 5313948287096164;Discover 0329774489991288;Перевод с карты на карту
Tenge;443315;EXECUTED;2021-08-07T07:02:43Z;34519;KZT;American Express 5416179213106657;Mastercard 0160958229240256;Перевод с карты на карту
Yuan Renminbi;1830974;EXECUTED;2022-12-30T06:06:05Z;19103;CNY;Discover 0466471728887794;Visa 8191405185557433;Перевод с карты на карту
Rupiah;2959230;EXECUTED;2022-01-02T10:07:04Z;28500;IDR;Mastercard 4570025114606266;Discover 4329800474005700;Перевод с карты на карту
Yuan Renminbi;3513019;PENDING;2022-09-02T05:55:52Z;13127;CNY;Discover 3114252861244492;Visa 4627389712448189;Перевод с карты на карту
Won;3317385;EXECUTED;2022-07-10T09:24:28Z;15540;KPW;Visa 8673177068866844;Discover 4042375592477197;Перевод с карты на карту
Koruna;72219;EXECUTED;2023-08-09T03:54:59Z;28868;CZK;;Счет 65771273382053145248;Открытие вклада
Yuan Renminbi;5120424;EXECUTED;2022-06-21T04:33:39Z;16623;CNY;American Express 1754261926422113;American Express 1912246230374869;Перевод с карты на карту
Yuan Renminbi;2515993;EXECUTED;2023-08-17T02:28:57Z;20586;CNY;Discover 6821572971032824;Discover 7288948724353737;Перевод с карты на карту
Franc;3652648;CANCELED;2023-07-13T15:38:12Z;22479;XOF;Счет 70461671296717370428;Счет 52445033864538587695;Перевод со счета на счет
Euro;2189906;EXECUTED;2022-01-02T17:51:07Z;26418;EUR;Счет 32587148810728665069;Счет 80122675086638061370;Перевод со счета на счет
Dollar;1867775;EXECUTED;2021-03-26T19:04:51Z;24063;NZD;American Express 3879946924528107;Счет 29289561285454675688;Перевод организации
Yuan Renminbi;2683394;EXECUTED;2023-10-27T15:35:50Z;21830;CNY;;Счет 93654567547380187741;Открытие вклада
Yuan Renminbi;2239866;EXECUTED;2022-04-18T18:51:53Z;24567;CNY;;Счет 90027224340328984499;Открытие вклада
Peso;4003913;EXECUTED;2022-12-06T19:06:56Z;14530;PHP;Discover 4573982311494005;Mastercard 4935476635235091;Перевод с карты на карту
Euro;2979557;EXECUTED;2023-07-13T13:58:49Z;26279;EUR;Счет 28694210812172680482;Счет 92356841239087789939;Перевод со счета на счет
Baht;405067;EXECUTED;2022-11-28T17:52:43Z;21008;THB;;Счет 70415428501870008564;Открытие вклада
Rupiah;2914913;EXECUTED;2020-11-18T21:17:05Z;13888;IDR;American Express 8063285986699650;Mastercard 1695740993384893;Перевод с карты на карту
Rupiah;1441986;EXECUTED;2020-04-30T08:37:17Z;14356;IDR;American Express 9143190180821093;Visa 1754001355342425;Перевод с карты на карту
Ruble;4967751;CANCELED;2022-08-01T17:16:42Z;18241;RUB;Discover 2510997056903668;Visa 5176450912871980;Перевод с карты на карту
Manat;1379139;PENDING;2022-05-24T20:41:16Z;14160;AZN;Discover 9659662475890450;Discover 1864760256062832;Перевод с карты на карту
Krona;3497395;EXECUTED;2020-04-13T22:31:01Z;27769;SEK;;Счет 45541055869952197495;Открытие вклада
Pound;4612198;EXECUTED;2020-07-19T03:15:49Z;21163;EGP;;Счет 06046825775893944654;Открытие вклада
Yuan Renminbi;4443353;EXECUTED;2022-03-11T09:55:29Z;26401;CNY;American Express 9169124843687636;Visa 2934477295358099;Перевод с карты на карту
Peso;1522040;EXECUTED;2023-04-09T13:31:31Z;15020;CLP;Mastercard 9147085041595377;American Express 8088958095150478;Перевод с карты на карту
Zloty;4398796;EXECUTED;2022-01-10T02:59:51Z;20293;PLN;American Express 1247216335781067;Mastercard 5715944033433205;Перевод с карты на карту
Shilling;5064981;EXECUTED;2020-06-14T21:50:32Z;34544;KES;;Счет 87162801326160110075;Открытие вклада
Shekel;1387413;EXECUTED;2020-07-09T23:28:14Z;16028;ILS;;Счет 97502862442965698121;Открытие вклада
Yuan Renminbi;2948386;EXECUTED;2023-04-01T12:02:06Z;26405;CNY;American Express 7682181798464709;Счет 93737829810907580744;Перевод организации
Rupiah;3123481;CANCELED;2023-07-15T01:02:42Z;13578;IDR;Mastercard 5680368377764854;American Express 1298846920198860;Перевод с карты на карту
Naira;512976;EXECUTED;2022-02-10T02:59:35Z;14342;NGN;American Express 2479027296417707;Mastercard 2118723450691392;Перевод с карты на карту
Yen;3306334;CANCELED;2023-10-04T21:31:52Z;20825;JPY;Visa 1029598091153362;Счет 66817481936655029590;Перевод организации
Ruble;2611948;PENDING;2022-02-08T17:16:05Z;15911;RUB;Discover 6348321385395461;Mastercard 7325946652944710;Перевод с карты на карту
Pound;4210081;CANCELED;2022-06-01T20:40:14Z;20882;EGP;;Счет 20588590232394945686;Открытие вклада
Ariary;4924104;PENDING;2021-06-07T17:23:26Z;13036;MGA;Mastercard 9984189726356135;American Express 9496683068632548;Перевод с карты на карту
Sol;1453528;EXECUTED;2020-12-26T12:22:59Z;24614;PEN;American Express 0874438357929097;American Express 2043827488585986;Перевод с карты на карту
Yuan Renminbi;3833383;EXECUTED;2020-10-20T04:30:41Z;24706;CNY;Mastercard 1333736453866448;American Express 2001671059412435;Перевод с карты на карту
Dram;1300014;EXECUTED;2021-03-23T17:28:38Z;16276;AMD;Discover 5462310471174855;Mastercard 5051030951146472;Перевод с карты на карту
Yuan Renminbi;3456154;PENDING;2022-02-02T11:46:42Z;16193;CNY;Visa 8600999617172909;Visa 2844866498722428;Перевод с карты на карту
Ruble;3685558;CANCELED;2022-05-06T15:14:42Z;26570;RUB;Mastercard 7004562378757988;Mastercard 0825255021365694;Перевод с карты на карту
Dong;1165374;EXECUTED;2023-05-28T07:44:37Z;18924;VND;Discover 6573220609816188;Discover 9351896556617255;Перевод с карты на карту
Dirham;726807;EXECUTED;2023-02-10T07:31:41Z;19955;MAD;Счет 06636613357397067467;Счет 03936975258912077744;Перевод со счета на счет
Yuan Renminbi;1902667;CANCELED;2020-02-24T08:31:11Z;25859;CNY;Discover 1601792099597360;Visa 0293980784507463;Перевод с карты на карту
Yuan Renminbi;327307;CANCELED;2020-12-05T15:49:25Z;14306;CNY;American Express 9028896043787749;Visa 5928608009409515;Перевод с карты на карту
Zloty;439075;EXECUTED;2020-07-27T01:54:01Z;28260;PLN;American Express 3972065433339638;Visa 6170999529692389;Перевод с карты на карту
Peso;1927497;EXECUTED;2020-10-29T22:42:43Z;29760;PHP;Счет 21135355953772999542;Счет 55887498738869235832;Перевод со счета на счет
Peso;4389067;EXECUTED;2023-11-10T05:12:57Z;20539;CUP;Visa 1046601770510966;Visa 3844034954049614;Перевод с карты на карту
Peso;2785941;CANCELED;2021-02-09T05:55:48Z;22227;PHP;Visa 1211736622503262;Discover 4573836066399753;Перевод с карты на карту
Yuan Renminbi;2756393;EXECUTED;2020-07-30T13:08:10Z;14422;CNY;;Счет 32748708969169200933;Открытие вклада
Yuan Renminbi;599027;PENDING;2022-02-21T02:56:37Z;12373;CNY;American Express 6311535048493715;Discover 6103555688511371;Перевод с карты на карту
Yuan Renminbi;3080764;EXECUTED;2020-04-05T17:15:05Z;24757;CNY;Mastercard 0249962785252276;Mastercard 3497558588626189;Перевод с карты на карту
Baht;680730;EXECUTED;2022-07-26T12:57:15Z;29492;THB;Visa 9022982028350429;Mastercard 2122026619911974;Перевод с карты на карту
Tenge;3327991;PENDING;2020-01-02T14:56:56Z;21565;KZT;Visa 6101438539947726;Mastercard 1093643052935424;Перевод с карты на карту
Ruble;3036684;EXECUTED;2022-03-25T01:54:48Z;22818;RUB;American Express 5289343085624249;Счет 37876144219366357273;Перевод организации
Yuan Renminbi;3061748;CANCELED;2020-06-17T11:50:30Z;28322;CNY;Visa 1359185537481291;Discover 0843636635891776;Перевод с карты на карту
Shekel;2960398;EXECUTED;2022-06-18T06:48:37Z;24677;ILS;Discover 7324391935910827;American Express 7921742013738369;Перевод с карты на карту
Rupiah;216268;EXECUTED;2021-12-16T16:30:47Z;29188;IDR;;Счет 85522230938749372427;Открытие вклада
Shekel;3113401;EXECUTED;2021-09-13T01:50:43Z;20356;ILS;Visa 0723667105507272;American Express 9942207938412902;Перевод с карты на карту
Yen;1802648;EXECUTED;2022-12-31T08:49:27Z;21591;JPY;Discover 8645223566080480;Discover 1228012474535802;Перевод с карты на карту
Rial;603367;CANCELED;2022-05-01T09:41:33Z;19253;IRR;Visa 8108956690063326;Счет 37037858323164558189;Перевод организации
Kuna;3425560;EXECUTED;2023-08-05T07:49:52Z;28847;HRK;Mastercard 6032275004365579;Mastercard 0183189965945417;Перевод с карты на карту
Rupiah;4768701;PENDING;2022-07-28T07:11:34Z;14922;IDR;Discover 9845271582621310;Discover 2528293109343153;Перевод с карты на карту
Hryvnia;230224;EXECUTED;2023-05-06T05:22:48Z;26228;UAH;American Express 8220175236913887;Mastercard 4802624159804288;Перевод с карты на карту
Lek;2850514;PENDING;2020-12-28T17:53:13Z;23686;ALL;Discover 9576458861815708;Mastercard 4321975182864595;Перевод с карты на карту
Hryvnia;4234448;CANCELED;2023-09-08T10:10:17Z;24237;UAH;;Счет 97314618742902814769;Открытие вклада
Yen;1279142;PENDING;2020-02-12T13:37:23Z;16376;JPY;Mastercard 5444471272260826;Visa 9213489075974563;Перевод с карты на карту
Dollar;1388171;EXECUTED;2023-07-14T15:11:56Z;12150;BSD;Mastercard 3773074923283720;Mastercard 6858852082832671;Перевод с карты на карту
Yuan Renminbi;5338004;EXECUTED;2020-03-30T20:13:31Z;24128;CNY;Mastercard 0188382670172599;Счет 29330609189568305731;Перевод организации
Real;2514202;EXECUTED;2021-09-04T02:12:30Z;31609;BRL;;Счет 04404258976890644934;Открытие вклада
Rupiah;1617731;EXECUTED;2021-11-10T16:27:02Z;29279;IDR;Счет 91299877420956980418;Счет 97627688254834676901;Перевод со счета на счет
Rupiah;349946;EXECUTED;2023-08-06T06:33:13Z;23742;IDR;;Счет 31470633517516216972;Открытие вклада
Euro;2300960;PENDING;2020-05-10T21:18:59Z;21170;EUR;American Express 2077167756122624;Счет 12692107571051189313;Перевод организации
Rupiah;3015231;PENDING;2022-01-13T03:15:00Z;21470;IDR;Mastercard 9800302102501629;Mastercard 2405382947502377;Перевод с карты на карту
Euro;2413465;CANCELED;2021-05-02T07:34:35Z;34576;EUR;American Express 9594487834827260;Discover 3052691668030750;Перевод с карты на карту
Ruble;2037712;EXECUTED;2023-07-31T16:44:50Z;11562;RUB;American Express 6902837737884644;American Express 1368443024115273;Перевод с карты на карту
Dong;1380530;PENDING;2023-05-22T12:49:50Z;32118;VND;Discover 1625204231900607;Mastercard 6547698108887955;Перевод с карты на карту
Yuan Renminbi;724939;CANCELED;2020-10-28T00:51:11Z;20082;CNY;Discover 2285798156070275;Visa 9513919641330425;Перевод с карты на карту
Franc;3232597;EXECUTED;2020-11-22T14:09:37Z;28208;XAF;American Express 2933932533113054;Discover 6226871375970632;Перевод с карты на карту
Real;4200454;EXECUTED;2022-03-29T14:25:48Z;22057;BRL;Mastercard 5392506448758414;American Express 2183728061661120;Перевод с карты на карту
Krona;1476839;EXECUTED;2021-05-11T06:26:06Z;24829;SEK;;Счет 89272272688021038059;Открытие вклада
Yuan Renminbi;5334238;EXECUTED;2023-07-08T18:38:35Z;32091;CNY;;Счет 01298833605277162165;Открытие вклада
Rupiah;3415187;PENDING;2022-10-10T00:58:18Z;25180;IDR;American Express 0358075953034789;Visa 7020384213026064;Перевод с карты на карту
Zloty;3393428;CANCELED;2020-10-03T18:58:14Z;26366;PLN;Discover 6041689343106380;American Express 1961663078355667;Перевод с карты на карту
Rupiah;4026887;PENDING;2021-11-18T07:16:36Z;34138;IDR;Discover 1747353075279525;Visa 3125438085014296;Перевод с карты на карту
Rupiah;1351481;EXECUTED;2020-05-03T22:09:55Z;30476;IDR;Visa 6798617315186545;Mastercard 6604789652209646;Перевод с карты на карту
Rupiah;3586258;EXECUTED;2021-02-15T09:26:06Z;31645;IDR;;Счет 56497431151249388507;Открытие вклада
Yuan Renminbi;1156922;EXECUTED;2021-08-01T10:40:04Z;31380;CNY;American Express 3337753321208366;Счет 98342889863750388397;Перевод организации
Euro;879954;PENDING;2022-02-20T00:34:43Z;19037;EUR;American Express 7505798122789172;American Express 4033942449270190;Перевод с карты на карту
Rupiah;2443999;EXECUTED;2020-09-06T16:05:37Z;26734;IDR;Mastercard 9726709734708235;American Express 5069436335433663;Перевод с карты на карту
Lempira;2352308;PENDING;2021-12-10T02:57:49Z;11358;HNL;Mastercard 9035732695110352;Visa 8440267076775146;Перевод с карты на карту
Tugrik;2854598;EXECUTED;2022-01-31T14:36:17Z;33186;MNT;Счет 46066065234140686072;Счет 25990613209266883598;Перевод со счета на счет
Kyat;4754778;PENDING;2023-03-22T19:17:05Z;14992;MMK;Discover 9055259074920445;American Express 3629785004484612;Перевод с карты на карту
